payment_id,order_id,payment_date,payment_method,payment_status,amount,refunded_amount
P00045,O00045,2025-07-22,Card,paid,218.79,0.0
P00046,O00046,2024-05-26,UPI,failed,259.58,0.0
P00047,O00047,2024-07-20,NetBanking,paid,192.96,0.0
P00048,O00048,2024-09-10,Card,paid,362.85,0.0
P00049,O00049,2024-11-22,UPI,paid,81.86,0.0
P00050,O00050,2024-06-16,NetBanking,paid,219.71,0.0
P00051,O00051,2025-05-10,Wallet,refunded,180.45,180.45
P00052,O00052,2025-06-07,UPI,refunded,156.81,156.81
P00053,O00053,2025-06-30,Card,paid,69.7,0.0
P00054,O00054,2025-07-22,UPI,failed,160.82,0.0
P00055,O00055,2025-08-26,Wallet,paid,173.67,0.0
P00056,O00056,2025-09-29,Wallet,paid,359.48,0.0
P00057,O00057,2025-11-11,Wallet,paid,123.28,0.0
P00058,O00058,2025-12-01,Card,paid,453.97,0.0
P00059,O00059,2026-01-09,Wallet,paid,365.43,0.0
P00060,O00060,2024-05-15,NetBanking,paid,217.49,0.0
P00061,O00061,2024-07-02,UPI,paid,124.05,0.0
P00062,O00062,2024-01-10,Wallet,paid,264.37,0.0
P00063,O00063,2024-03-05,NetBanking,refunded,180.47,180.47
P00064,O00064,2024-04-28,Card,failed,98.49,0.0
P00065,O00065,2024-11-21,NetBanking,refunded,48.69,48.69
P00066,O00066,2025-07-01,Wallet,paid,366.19,0.0
P00067,O00067,2025-05-18,NetBanking,paid,226.23,0.0
P00068,O00068,2025-07-15,UPI,paid,39.09,0.0
P00069,O00069,2025-07-25,NetBanking,paid,52.07,0.0
P00070,O00070,2025-09-24,UPI,paid,124.72,0.0
P00071,O00071,2025-07-18,Wallet,paid,165.22,0.0
P00072,O00072,2025-07-03,UPI,paid,158.21,0.0
P00073,O00073,2025-09-11,UPI,paid,384.97,0.0
P00074,O00074,2024-03-04,Card,paid,322.06,0.0
P00075,O00075,2024-04-08,NetBanking,paid,277.11,0.0
P00076,O00076,2024-05-13,Wallet,paid,213.64,0.0
P00077,O00077,2024-06-17,Card,failed,215.81,0.0
P00078,O00078,2024-07-23,NetBanking,paid,231.12,0.0
P00079,O00079,2024-08-21,Wallet,paid,407.86,0.0
P00080,O00080,2024-09-26,Wallet,paid,111.54,0.0
P00081,O00081,2024-10-28,NetBanking,paid,158.5,0.0
P00082,O00082,2024-09-20,UPI,paid,248.32,0.0
P00083,O00083,2025-08-15,Wallet,paid,153.64,0.0
P00084,O00084,2025-10-02,UPI,paid,232.51,0.0
P00085,O00085,2025-11-07,Wallet,paid,88.89,0.0
P00086,O00086,2024-04-27,Card,paid,97.08,0.0
P00087,O00087,2024-03-12,NetBanking,paid,106.84,0.0
P00088,O00088,2024-07-28,NetBanking,paid,98.69,0.0
P00089,O00089,2025-08-06,UPI,partially_refunded,359.62,130.7
P00090,O00090,2025-09-21,Wallet,paid,252.16,0.0
P00091,O00091,2025-11-22,Wallet,failed,140.4,0.0
P00092,O00092,2024-09-09,Card,partially_refunded,257.01,175.06
P00093,O00093,2025-04-24,Wallet,paid,296.16,0.0
P00094,O00094,2025-07-05,Card,paid,378.32,0.0
P00095,O00095,2025-08-21,UPI,refunded,69.76,69.76
P00096,O00096,2024-11-21,Wallet,paid,386.74,0.0
P00097,O00097,2025-02-02,Card,paid,83.73,0.0
P00098,O00098,2025-03-31,Wallet,paid,277.42,0.0
P00099,O00099,2025-05-15,Card,paid,59.76,0.0
P00100,O00100,2024-03-12,Card,failed,204.17,0.0
P00101,O00101,2025-06-23,UPI,paid,261.59,0.0
P00102,O00102,2024-09-11,NetBanking,paid,60.16,0.0
P00103,O00103,2024-10-22,UPI,paid,292.69,0.0
P00104,O00104,2024-12-08,Card,paid,160.99,0.0
P00105,O00105,2024-12-31,Wallet,paid,40.1,0.0
P00106,O00106,2025-01-21,Card,paid,164.77,0.0
P00107,O00107,2024-02-27,Wallet,refunded,53.66,53.66
P00108,O00108,2024-03-28,Wallet,paid,189.72,0.0
P00109,O00109,2024-04-30,Wallet,paid,177.28,0.0
P00110,O00110,2024-05-30,Card,paid,424.39,0.0
P00111,O00111,2024-07-30,Wallet,paid,30.27,0.0
P00112,O00112,2024-11-08,Card,paid,447.43,0.0
P00113,O00113,2024-12-03,NetBanking,paid,57.81,0.0
P00114,O00114,2025-01-14,UPI,paid,147.86,0.0
P00115,O00115,2025-02-19,Card,paid,146.66,0.0
P00116,O00116,2025-03-20,Card,paid,370.18,0.0
P00117,O00117,2025-04-30,Wallet,paid,248.99,0.0
P00118,O00118,2025-05-28,UPI,paid,65.85,0.0
P00119,O00119,2025-09-30,Card,paid,101.37,0.0
P00120,O00120,2025-11-25,Card,paid,266.93,0.0
P00121,O00121,2026-02-05,NetBanking,paid,310.13,0.0
P00122,O00122,2024-12-25,UPI,paid,58.41,0.0
P00123,O00123,2025-07-17,Wallet,failed,324.52,0.0
P00124,O00124,2025-08-28,NetBanking,partially_refunded,253.48,119.23
P00125,O00125,2025-10-22,Card,paid,392.18,0.0
P00126,O00126,2026-02-15,UPI,paid,165.43,0.0
P00127,O00127,2025-08-01,Card,paid,304.69,0.0
P00128,O00128,2025-09-07,Card,paid,93.37,0.0
P00129,O00129,2025-10-13,Card,paid,286.74,0.0
P00130,O00130,2025-11-28,UPI,paid,361.61,0.0
P00131,O00131,2025-12-21,UPI,paid,203.69,0.0
P00132,O00132,2026-01-17,NetBanking,paid,150.32,0.0
P00133,O00133,2026-02-14,Wallet,paid,246.21,0.0
P00134,O00134,2024-04-30,Card,paid,47.26,0.0
P00135,O00135,2024-08-05,Wallet,refunded,43.4,43.4
P00136,O00136,2025-03-11,Card,refunded,195.74,195.74
P00137,O00137,2024-10-15,Card,paid,206.83,0.0
P00138,O00138,2024-11-28,Wallet,paid,210.28,0.0
P00139,O00139,2025-01-29,NetBanking,paid,412.98,0.0
P00140,O00140,2025-03-17,Wallet,paid,423.61,0.0
P00141,O00141,2024-05-06,Card,paid,287.72,0.0
P00142,O00142,2024-06-28,Card,paid,379.78,0.0
P00143,O00143,2024-09-06,UPI,partially_refunded,327.93,257.83
P00144,O00144,2024-11-08,NetBanking,paid,292.75,0.0
P00145,O00145,2024-06-17,UPI,paid,358.91,0.0
P00146,O00146,2024-09-24,UPI,paid,298.7,0.0
P00147,O00147,2024-02-23,UPI,paid,130.3,0.0
P00148,O00148,2024-04-02,Wallet,paid,289.61,0.0
P00149,O00149,2024-05-20,Wallet,paid,303.66,0.0
P00150,O00150,2024-08-03,Card,paid,330.15,0.0
P00151,O00151,2025-08-01,Wallet,paid,313.86,0.0
P00152,O00152,2025-10-04,NetBanking,paid,126.25,0.0
P00153,O00153,2025-11-18,NetBanking,paid,108.19,0.0
P00154,O00154,2024-07-11,Card,paid,325.85,0.0
P00155,O00155,2024-10-03,NetBanking,refunded,399.54,399.54
P00156,O00156,2025-03-03,NetBanking,paid,164.39,0.0
P00157,O00157,2024-02-24,Card,refunded,35.09,35.09
P00158,O00158,2024-06-10,NetBanking,paid,69.86,0.0
P00159,O00159,2024-09-05,UPI,failed,174.89,0.0
P00160,O00160,2024-11-16,Card,paid,179.62,0.0
P00161,O00161,2024-12-26,Wallet,paid,48.18,0.0
P00162,O00162,2025-02-15,UPI,paid,120.28,0.0
P00163,O00163,2024-03-24,UPI,refunded,266.96,266.96
P00164,O00164,2024-04-28,Card,refunded,40.29,40.29
P00165,O00165,2024-06-05,NetBanking,paid,144.61,0.0
P00166,O00166,2024-08-04,UPI,refunded,164.77,164.77
P00167,O00167,2025-07-17,Card,paid,130.63,0.0
P00168,O00168,2024-10-21,Card,refunded,378.31,378.31
P00169,O00169,2024-12-11,Wallet,paid,318.6,0.0
P00170,O00170,2025-02-01,Card,paid,129.33,0.0
P00171,O00171,2025-04-13,NetBanking,partially_refunded,90.09,41.47
P00172,O00172,2024-12-03,Card,paid,344.27,0.0
P00173,O00173,2025-01-24,NetBanking,paid,399.24,0.0
P00174,O00174,2025-07-26,NetBanking,paid,59.63,0.0
P00175,O00175,2025-07-12,Card,paid,346.12,0.0
P00176,O00176,2025-11-17,Card,paid,358.33,0.0
P00177,O00177,2025-12-31,UPI,failed,263.09,0.0
P00178,O00178,2025-02-03,NetBanking,paid,211.78,0.0
P00179,O00179,2025-03-30,NetBanking,paid,402.08,0.0
P00180,O00180,2025-05-20,Card,paid,93.55,0.0
P00181,O00181,2024-01-19,UPI,paid,370.45,0.0
P00182,O00182,2024-04-11,UPI,paid,324.9,0.0
P00183,O00183,2025-04-19,Card,paid,334.82,0.0
P00184,O00184,2024-10-19,UPI,paid,376.29,0.0
P00185,O00185,2024-12-01,Card,failed,108.63,0.0
P00186,O00186,2024-12-24,NetBanking,paid,217.1,0.0
P00187,O00187,2025-01-18,UPI,paid,245.39,0.0
P00188,O00188,2025-02-23,NetBanking,paid,348.22,0.0
P00189,O00189,2025-04-12,Card,paid,111.19,0.0
P00190,O00190,2025-05-23,Card,refunded,291.42,291.42
P00191,O00191,2025-09-24,Wallet,paid,322.09,0.0
P00192,O00192,2025-02-06,Wallet,paid,253.27,0.0
P00193,O00193,2024-05-09,NetBanking,paid,348.72,0.0
P00194,O00194,2024-09-28,Wallet,paid,203.96,0.0
P00195,O00195,2025-08-07,NetBanking,paid,93.67,0.0
P00196,O00196,2025-09-06,Wallet,refunded,104.7,104.7
P00197,O00197,2025-11-11,Card,paid,213.46,0.0
P00198,O00198,2025-08-02,UPI,paid,301.22,0.0
P00199,O00199,2025-09-21,Wallet,paid,290.32,0.0
P00200,O00200,2024-09-19,Card,paid,384.65,0.0
P00201,O00201,2024-04-09,NetBanking,refunded,378.0,378.0
P00202,O00202,2024-04-10,UPI,paid,302.5,0.0
P00203,O00203,2024-03-24,Wallet,paid,54.98,0.0
P00204,O00204,2024-08-06,Wallet,paid,351.31,0.0
P00205,O00205,2024-09-15,NetBanking,paid,314.12,0.0
P00206,O00206,2024-10-19,UPI,paid,159.45,0.0
P00207,O00207,2024-11-25,Card,paid,223.68,0.0
P00208,O00208,2025-01-09,UPI,paid,186.35,0.0
P00209,O00209,2025-08-15,Card,paid,274.77,0.0
P00210,O00210,2025-10-15,NetBanking,paid,97.91,0.0
P00211,O00211,2025-02-08,Wallet,paid,116.62,0.0
P00212,O00212,2025-04-17,Wallet,paid,414.31,0.0
P00213,O00213,2024-10-23,NetBanking,paid,133.59,0.0
P00214,O00214,2025-02-25,UPI,paid,197.69,0.0
P00215,O00215,2025-03-19,NetBanking,paid,306.23,0.0
P00216,O00216,2025-04-17,Wallet,refunded,233.52,233.52
P00217,O00217,2025-05-24,Card,paid,289.82,0.0
P00218,O00218,2025-07-01,Card,paid,196.13,0.0
P00219,O00219,2025-07-25,UPI,paid,293.31,0.0
P00220,O00220,2025-08-21,UPI,paid,214.3,0.0
P00221,O00221,2025-10-07,NetBanking,paid,184.29,0.0
P00222,O00222,2025-09-02,Wallet,failed,373.26,0.0
P00223,O00223,2025-10-07,NetBanking,failed,363.72,0.0
P00224,O00224,2025-12-12,UPI,paid,312.01,0.0
P00225,O00225,2026-01-30,NetBanking,paid,180.5,0.0
P00226,O00226,2024-07-22,NetBanking,paid,125.85,0.0
P00227,O00227,2024-12-28,Card,paid,104.79,0.0
P00228,O00228,2025-03-04,Wallet,paid,218.61,0.0
P00229,O00229,2025-04-20,Wallet,paid,276.05,0.0
P00230,O00230,2024-03-31,Wallet,paid,132.12,0.0
P00231,O00231,2024-06-04,UPI,paid,161.08,0.0
P00232,O00232,2024-07-20,UPI,paid,325.42,0.0
P00233,O00233,2024-12-30,Wallet,paid,86.72,0.0
P00234,O00234,2025-02-26,Card,paid,136.51,0.0
P00235,O00235,2024-10-02,Wallet,paid,96.69,0.0
P00236,O00236,2024-12-05,NetBanking,paid,178.82,0.0
P00237,O00237,2025-02-14,NetBanking,paid,245.74,0.0
P00238,O00238,2025-04-28,NetBanking,paid,148.31,0.0
P00239,O00239,2025-11-22,Card,paid,119.13,0.0
P00240,O00240,2026-01-07,UPI,paid,155.22,0.0
P00241,O00241,2026-01-27,Wallet,failed,359.52,0.0
P00242,O00242,2026-02-15,Card,paid,201.52,0.0
P00243,O00243,2025-02-01,UPI,paid,363.79,0.0
P00244,O00244,2025-03-02,Wallet,refunded,254.37,254.37
P00245,O00245,2025-05-17,Wallet,paid,206.36,0.0
P00246,O00246,2024-06-20,Card,paid,44.18,0.0
P00247,O00247,2024-07-29,NetBanking,paid,82.9,0.0
P00248,O00248,2024-08-31,Card,refunded,327.1,327.1
P00249,O00249,2024-11-21,Card,paid,208.1,0.0
P00250,O00250,2025-02-01,UPI,refunded,284.99,284.99
P00251,O00251,2025-11-30,Card,paid,189.13,0.0
P00252,O00252,2025-03-10,UPI,partially_refunded,174.46,101.1
P00253,O00253,2025-05-03,UPI,paid,220.8,0.0
P00254,O00254,2025-07-21,Wallet,paid,270.96,0.0
P00255,O00255,2025-07-07,Card,paid,109.14,0.0
P00256,O00256,2024-09-12,Wallet,paid,243.92,0.0
P00257,O00257,2024-10-09,NetBanking,paid,372.6,0.0
P00258,O00258,2024-11-06,Card,paid,248.69,0.0
P00259,O00259,2024-12-12,UPI,partially_refunded,238.12,136.91
P00260,O00260,2025-01-20,UPI,paid,332.76,0.0
P00261,O00261,2025-02-08,Card,refunded,237.01,237.01
P00262,O00262,2025-02-27,UPI,paid,395.61,0.0
P00263,O00263,2025-03-22,Wallet,paid,383.98,0.0
P00264,O00264,2024-08-08,UPI,refunded,375.82,375.82
P00265,O00265,2025-07-04,Wallet,paid,92.23,0.0
P00266,O00266,2024-09-17,Wallet,paid,343.27,0.0
P00267,O00267,2024-08-20,UPI,paid,232.03,0.0
P00268,O00268,2025-07-10,UPI,paid,386.14,0.0
P00269,O00269,2025-09-02,NetBanking,paid,99.74,0.0
P00270,O00270,2025-10-27,Card,paid,118.63,0.0
P00271,O00271,2025-12-01,NetBanking,paid,411.01,0.0
P00272,O00272,2026-02-16,Card,refunded,393.68,393.68
P00273,O00273,2025-04-12,Card,paid,287.09,0.0
P00274,O00274,2024-11-28,Wallet,refunded,68.71,68.71
P00275,O00275,2025-01-06,NetBanking,paid,93.2,0.0
P00276,O00276,2025-02-20,NetBanking,refunded,392.53,392.53
P00277,O00277,2025-04-25,UPI,failed,308.06,0.0
P00278,O00278,2025-09-07,NetBanking,paid,280.0,0.0
P00279,O00279,2025-05-17,UPI,paid,398.34,0.0
P00280,O00280,2025-06-26,Card,failed,291.79,0.0
P00281,O00281,2025-08-07,UPI,paid,451.28,0.0
P00282,O00282,2026-02-15,Card,paid,180.17,0.0
P00283,O00283,2024-08-03,UPI,paid,109.12,0.0
P00284,O00284,2025-07-11,Card,paid,333.13,0.0
P00285,O00285,2025-10-04,NetBanking,paid,189.67,0.0
P00286,O00286,2025-12-22,UPI,paid,138.42,0.0
P00287,O00287,2026-02-13,Wallet,paid,381.25,0.0
P00288,O00288,2025-05-15,Card,paid,277.59,0.0
P00289,O00289,2025-05-24,Card,paid,348.63,0.0
P00290,O00290,2025-12-19,Wallet,paid,52.65,0.0
P00291,O00291,2024-09-17,Wallet,paid,259.5,0.0
P00292,O00292,2024-11-23,Wallet,paid,149.71,0.0
P00293,O00293,2025-01-28,Card,paid,44.95,0.0
P00294,O00294,2025-10-06,Wallet,paid,146.46,0.0
P00295,O00295,2025-12-03,Wallet,paid,290.64,0.0
P00296,O00296,2026-02-15,Wallet,paid,257.51,0.0
P00297,O00297,2024-08-21,Card,paid,38.49,0.0
P00298,O00298,2024-10-31,NetBanking,paid,189.17,0.0
P00299,O00299,2024-12-21,NetBanking,paid,165.52,0.0
P00300,O00300,2025-02-25,Card,paid,416.06,0.0
P00301,O00301,2025-05-14,UPI,paid,339.01,0.0
P00302,O00302,2025-04-12,Card,paid,412.0,0.0
P00303,O00303,2025-05-09,NetBanking,paid,156.31,0.0
P00304,O00304,2025-05-26,Card,paid,282.17,0.0
P00305,O00305,2025-07-05,Card,refunded,103.46,103.46
P00306,O00306,2025-08-19,Card,paid,286.31,0.0
P00307,O00307,2025-09-27,Card,paid,304.33,0.0
P00308,O00308,2025-11-09,NetBanking,paid,276.19,0.0
P00309,O00309,2025-11-28,Wallet,paid,177.94,0.0
P00310,O00310,2025-12-28,Wallet,paid,77.72,0.0
P00311,O00311,2025-07-30,UPI,paid,246.2,0.0
P00312,O00312,2025-08-23,Card,paid,57.23,0.0
P00313,O00313,2025-09-26,NetBanking,paid,91.89,0.0
P00314,O00314,2025-10-23,UPI,paid,308.97,0.0
P00315,O00315,2025-11-13,UPI,paid,205.67,0.0
P00316,O00316,2025-12-10,Card,paid,154.74,0.0
P00317,O00317,2026-01-03,Card,paid,234.49,0.0
P00318,O00318,2026-02-19,NetBanking,refunded,338.05,338.05
P00319,O00319,2024-07-05,UPI,paid,90.73,0.0
P00320,O00320,2024-08-13,NetBanking,paid,257.59,0.0
P00321,O00321,2024-09-28,NetBanking,paid,219.27,0.0
P00322,O00322,2024-12-10,Card,failed,235.49,0.0
P00323,O00323,2025-05-02,Wallet,paid,68.65,0.0
P00324,O00324,2025-06-06,UPI,paid,374.9,0.0
P00325,O00325,2025-07-14,NetBanking,paid,39.38,0.0
P00326,O00326,2025-08-23,Wallet,paid,290.42,0.0
P00327,O00327,2025-10-01,UPI,paid,330.21,0.0
P00328,O00328,2025-09-07,Wallet,paid,185.42,0.0
P00329,O00329,2025-10-16,NetBanking,paid,177.19,0.0
P00330,O00330,2024-08-28,Card,refunded,375.04,375.04
P00331,O00331,2024-10-29,Card,paid,319.28,0.0
P00332,O00332,2025-01-08,Card,refunded,49.13,49.13
P00333,O00333,2025-06-04,NetBanking,paid,141.79,0.0
P00334,O00334,2024-04-23,Card,paid,427.38,0.0
P00335,O00335,2025-02-25,Wallet,paid,418.41,0.0
P00336,O00336,2025-01-08,NetBanking,paid,318.29,0.0
P00337,O00337,2025-03-01,Wallet,paid,297.39,0.0
P00338,O00338,2024-06-04,UPI,paid,196.89,0.0
P00339,O00339,2024-06-20,Card,refunded,264.7,264.7
P00340,O00340,2024-07-20,UPI,paid,221.95,0.0
P00341,O00341,2024-08-28,UPI,paid,42.91,0.0
P00342,O00342,2024-09-21,Card,paid,415.42,0.0
P00343,O00343,2024-10-20,Card,partially_refunded,161.08,96.09
P00344,O00344,2025-10-12,Card,paid,362.72,0.0
P00345,O00345,2024-04-11,Card,paid,92.93,0.0
P00346,O00346,2024-06-16,NetBanking,paid,198.36,0.0
P00347,O00347,2025-05-19,UPI,paid,57.02,0.0
P00348,O00348,2025-09-25,UPI,paid,66.18,0.0
P00349,O00349,2025-06-11,Wallet,paid,113.39,0.0
P00350,O00350,2025-09-07,NetBanking,paid,98.01,0.0
P00351,O00351,2025-08-01,UPI,paid,261.17,0.0
P00352,O00352,2025-09-05,UPI,paid,344.11,0.0
P00353,O00353,2025-09-30,Card,partially_refunded,269.7,86.31
P00354,O00354,2025-11-10,Card,failed,139.8,0.0
P00355,O00355,2025-12-25,UPI,paid,43.35,0.0
P00356,O00356,2026-01-31,Card,refunded,160.41,160.41
P00357,O00357,2026-03-09,Card,partially_refunded,369.88,206.16
P00358,O00358,2024-09-09,NetBanking,paid,376.69,0.0
P00359,O00359,2024-10-04,UPI,paid,289.84,0.0
P00360,O00360,2024-10-30,NetBanking,partially_refunded,230.01,77.85
P00361,O00361,2024-12-03,NetBanking,paid,153.83,0.0
P00362,O00362,2024-12-27,Wallet,paid,164.52,0.0
P00363,O00363,2025-02-03,NetBanking,paid,80.78,0.0
P00364,O00364,2025-03-06,UPI,paid,354.45,0.0
P00365,O00365,2025-04-15,NetBanking,paid,145.71,0.0
P00366,O00366,2025-05-27,NetBanking,paid,196.17,0.0
P00367,O00367,2025-05-19,NetBanking,failed,405.31,0.0
P00368,O00368,2025-07-03,Card,paid,311.8,0.0
P00369,O00369,2025-08-08,Card,paid,169.91,0.0
P00370,O00370,2026-01-27,NetBanking,paid,169.99,0.0
P00371,O00371,2024-02-22,UPI,paid,92.51,0.0
P00372,O00372,2024-04-23,UPI,paid,60.95,0.0
P00373,O00373,2024-06-09,Wallet,paid,94.02,0.0
P00374,O00374,2024-11-10,NetBanking,paid,251.28,0.0
P00375,O00375,2025-04-07,NetBanking,paid,303.62,0.0
P00376,O00376,2025-05-04,Card,paid,287.33,0.0
P00377,O00377,2025-06-07,Wallet,paid,171.88,0.0
P00378,O00378,2025-07-14,UPI,paid,396.32,0.0
P00379,O00379,2025-08-02,UPI,paid,271.83,0.0
P00380,O00380,2025-09-07,UPI,paid,210.6,0.0
P00381,O00381,2025-09-30,UPI,paid,46.94,0.0
P00382,O00382,2025-02-27,Card,paid,41.37,0.0
P00383,O00383,2025-12-12,NetBanking,partially_refunded,90.04,28.33
P00384,O00384,2026-01-22,Card,paid,118.8,0.0
P00385,O00385,2026-02-15,Card,paid,354.45,0.0
P00386,O00386,2025-12-07,UPI,paid,79.71,0.0
P00387,O00387,2026-01-23,Wallet,partially_refunded,132.25,63.97
P00388,O00388,2025-10-16,UPI,paid,176.64,0.0
P00389,O00389,2024-03-04,Card,paid,202.59,0.0
P00390,O00390,2024-09-23,Wallet,paid,160.64,0.0
P00391,O00391,2024-11-29,Wallet,refunded,47.32,47.32
P00392,O00392,2025-02-08,Wallet,paid,227.01,0.0
P00393,O00393,2025-03-30,Wallet,paid,276.51,0.0
P00394,O00394,2024-03-31,NetBanking,paid,266.04,0.0
P00395,O00395,2024-05-21,UPI,paid,196.4,0.0
P00396,O00396,2024-06-22,NetBanking,refunded,164.52,164.52
P00397,O00397,2024-06-07,NetBanking,paid,173.79,0.0
P00398,O00398,2024-08-02,UPI,paid,334.57,0.0
P00399,O00399,2024-10-04,NetBanking,paid,394.63,0.0
P00400,O00400,2024-02-01,UPI,paid,182.78,0.0
P00401,O00401,2024-03-07,UPI,paid,68.12,0.0
P00402,O00402,2025-01-09,NetBanking,paid,244.76,0.0
P00403,O00403,2025-02-17,NetBanking,paid,225.66,0.0
P00404,O00404,2025-03-20,Wallet,paid,126.27,0.0
P00405,O00405,2025-05-31,UPI,paid,146.41,0.0
P00406,O00406,2024-07-28,Wallet,paid,82.46,0.0
P00407,O00407,2025-08-09,Wallet,paid,347.8,0.0
P00408,O00408,2025-09-24,UPI,paid,133.8,0.0
P00409,O00409,2025-10-31,Wallet,paid,125.47,0.0
P00410,O00410,2024-08-29,NetBanking,refunded,200.33,200.33
P00411,O00411,2024-10-18,Card,paid,305.55,0.0
P00412,O00412,2025-11-22,Card,partially_refunded,314.12,193.4
P00413,O00413,2025-12-15,NetBanking,paid,332.72,0.0
P00414,O00414,2026-01-12,Wallet,paid,308.86,0.0
P00415,O00415,2026-01-31,Card,paid,77.76,0.0
P00416,O00416,2025-04-07,UPI,paid,288.27,0.0
P00417,O00417,2024-10-31,Card,failed,288.37,0.0
P00418,O00418,2025-01-27,Wallet,failed,79.97,0.0
P00419,O00419,2024-11-01,Wallet,paid,426.08,0.0
P00420,O00420,2024-08-22,Card,refunded,266.15,266.15
P00421,O00421,2025-07-12,UPI,paid,220.57,0.0
P00422,O00422,2025-10-26,Wallet,paid,145.16,0.0
P00423,O00423,2025-12-19,Card,paid,141.06,0.0
P00424,O00424,2025-08-16,NetBanking,paid,224.97,0.0
P00425,O00425,2025-02-04,Card,refunded,103.81,103.81
P00426,O00426,2025-03-10,Wallet,paid,88.67,0.0
P00427,O00427,2025-11-06,NetBanking,paid,338.7,0.0
P00428,O00428,2025-12-16,Card,paid,207.45,0.0
P00429,O00429,2026-01-31,NetBanking,paid,357.97,0.0
P00430,O00430,2025-02-02,UPI,paid,64.36,0.0
P00431,O00431,2024-04-23,NetBanking,paid,72.71,0.0
P00432,O00432,2024-05-28,UPI,paid,68.93,0.0
P00433,O00433,2024-06-18,Wallet,paid,45.71,0.0
P00434,O00434,2024-07-22,Card,paid,137.76,0.0
P00435,O00435,2024-08-12,Wallet,paid,36.07,0.0
P00436,O00436,2024-08-30,Wallet,paid,336.21,0.0
P00437,O00437,2024-10-17,Card,paid,39.21,0.0
P00438,O00438,2024-11-07,Wallet,paid,198.21,0.0
P00439,O00439,2024-12-23,Card,paid,204.06,0.0
P00440,O00440,2025-01-09,Card,refunded,70.96,70.96
P00441,O00441,2025-02-18,Card,paid,139.23,0.0
P00442,O00442,2025-03-14,Wallet,paid,258.43,0.0
P00443,O00443,2024-08-24,UPI,partially_refunded,132.74,96.47
P00444,O00444,2024-10-13,Wallet,paid,326.63,0.0
P00445,O00445,2025-08-09,NetBanking,paid,203.02,0.0
P00446,O00446,2025-09-20,Card,refunded,318.86,318.86
P00447,O00447,2025-11-06,UPI,paid,52.42,0.0
P00448,O00448,2025-12-10,UPI,paid,279.56,0.0
P00449,O00449,2025-12-30,NetBanking,paid,167.82,0.0
P00450,O00450,2026-02-11,Wallet,paid,116.33,0.0
P00451,O00451,2026-02-28,Card,paid,387.01,0.0
P00452,O00452,2024-09-10,Wallet,paid,404.95,0.0
P00453,O00453,2024-10-11,Wallet,partially_refunded,285.8,214.38
P00454,O00454,2024-06-02,UPI,paid,219.33,0.0
