ticket_id,customer_id,order_id,created_at,issue_type,priority,resolution_hours,csat_score,ticket_status
T00061,C0051,O00131,2025-12-20,Payment Issue,Low,5.2,5,resolved
T00062,C0051,O00133,2026-02-22,Shipping Delay,Low,9.0,5,resolved
T00063,C0053,O00135,2024-08-09,Account Help,Low,8.4,3,resolved
T00064,C0054,O00136,2025-03-12,Payment Issue,Medium,24.6,3,resolved
T00065,C0055,O00138,2024-12-04,Shipping Delay,High,26.0,4,resolved
T00066,C0055,O00140,2025-03-19,Product Quality,High,23.4,4,resolved
T00067,C0056,O00143,2024-09-15,Payment Issue,Medium,15.1,4,resolved
T00068,C0057,O00145,2024-06-24,Refund Request,Low,5.7,4,resolved
T00069,C0058,O00150,2024-08-05,Account Help,High,48.3,4,resolved
T00070,C0058,O00150,2024-08-06,Refund Request,Low,2.6,5,resolved
T00071,C0059,O00153,2025-11-23,Shipping Delay,High,59.2,3,resolved
T00072,C0060,O00155,2024-10-10,Account Help,Low,11.9,3,resolved
T00073,C0061,O00156,2025-03-03,Product Quality,Low,9.9,5,resolved
T00074,C0062,O00157,2024-02-26,Product Quality,Low,8.9,3,resolved
T00075,C0063,O00159,2024-09-05,Shipping Delay,Medium,10.7,4,resolved
T00076,C0064,O00163,2024-03-23,Refund Request,Low,11.3,3,resolved
T00077,C0064,O00164,2024-05-03,Shipping Delay,Low,4.3,4,resolved
T00078,C0064,O00166,2024-08-09,Account Help,High,32.5,3,resolved
T00079,C0065,O00167,2025-07-24,Account Help,High,23.6,5,resolved
T00080,C0066,O00168,2024-10-28,Product Quality,Low,10.7,4,resolved
T00081,C0066,O00171,2025-04-19,Shipping Delay,Medium,16.9,3,resolved
T00082,C0071,O00177,2026-01-08,Shipping Delay,Medium,21.2,4,resolved
T00083,C0075,O00185,2024-12-04,Product Quality,Low,7.8,3,resolved
T00084,C0075,O00189,2025-04-10,Shipping Delay,Medium,28.2,4,resolved
T00085,C0075,O00190,2025-05-22,Payment Issue,Medium,25.7,3,resolved
T00086,C0075,O00190,2025-05-23,Refund Request,Medium,15.0,2,resolved
T00087,C0081,O00195,2025-08-10,Payment Issue,Low,11.1,5,resolved
T00088,C0081,O00196,2025-09-16,Shipping Delay,Medium,13.5,3,resolved
T00089,C0082,O00198,2025-08-02,Shipping Delay,Medium,17.6,5,resolved
T00090,C0084,O00201,2024-04-17,Account Help,Medium,26.9,3,resolved
T00091,C0088,O00209,2025-08-19,Product Quality,Medium,29.3,4,resolved
T00092,C0088,O00209,2025-08-22,Account Help,Low,8.1,5,resolved
T00093,C0088,O00210,2025-10-17,Account Help,Medium,9.5,4,resolved
T00094,C0090,O00213,2024-10-24,Payment Issue,Medium,10.6,4,resolved
T00095,C0091,O00216,2025-04-25,Account Help,Low,7.1,4,resolved
T00096,C0092,O00222,2025-09-03,Product Quality,Low,6.1,3,resolved
T00097,C0092,O00222,2025-09-06,Product Quality,Low,3.2,4,resolved
T00098,C0092,O00223,2025-10-08,Refund Request,Medium,20.9,2,resolved
T00099,C0092,O00223,2025-10-10,Shipping Delay,Medium,25.4,3,resolved
T00100,C0093,O00226,2024-07-30,Account Help,Medium,22.6,4,resolved
T00101,C0096,O00233,2025-01-05,Shipping Delay,Low,10.4,4,resolved
T00102,C0098,O00239,2025-11-24,Product Quality,Low,6.0,5,resolved
T00103,C0098,O00239,2025-11-29,Shipping Delay,Medium,9.9,5,resolved
T00104,C0098,O00240,2026-01-15,Account Help,Low,6.8,5,resolved
T00105,C0098,O00241,2026-01-26,Product Quality,Low,5.5,4,resolved
T00106,C0099,O00244,2025-03-11,Shipping Delay,Low,8.3,4,resolved
T00107,C0099,O00244,2025-03-06,Payment Issue,Medium,14.3,4,resolved
T00108,C0100,O00248,2024-08-29,Shipping Delay,High,31.5,3,resolved
T00109,C0102,O00250,2025-02-05,Refund Request,Low,4.8,3,resolved
T00110,C0103,O00251,2025-12-07,Payment Issue,Medium,10.8,4,resolved
T00111,C0104,O00252,2025-03-17,Product Quality,Low,6.7,4,resolved
T00112,C0105,O00254,2025-07-27,Payment Issue,Low,4.8,5,resolved
T00113,C0107,O00257,2024-10-13,Product Quality,Low,4.3,5,resolved
T00114,C0107,O00259,2024-12-16,Product Quality,High,66.7,2,resolved
T00115,C0107,O00261,2025-02-13,Product Quality,Medium,29.9,3,resolved
T00116,C0107,O00261,2025-02-13,Account Help,Low,5.1,4,resolved
T00117,C0108,,2025-09-14,Account Help,Low,11.3,4,resolved
T00118,C0109,O00264,2024-08-09,Payment Issue,High,52.2,3,resolved
T00119,C0112,O00267,2024-08-26,Refund Request,High,22.8,4,resolved
T00120,C0113,O00269,2025-09-10,Shipping Delay,Medium,8.5,4,resolved
T00121,C0113,O00271,2025-12-06,Shipping Delay,Medium,14.0,5,resolved
T00122,C0113,O00272,2026-02-21,Refund Request,Medium,9.9,3,resolved
T00123,C0113,O00272,2026-02-18,Product Quality,Medium,8.9,4,resolved
T00124,C0115,O00274,2024-12-06,Shipping Delay,High,67.1,2,resolved
T00125,C0115,O00276,2025-02-22,Product Quality,Medium,12.1,4,resolved
T00126,C0115,O00277,2025-04-28,Shipping Delay,Low,9.6,4,resolved
T00127,C0115,O00278,2025-09-10,Shipping Delay,High,43.3,4,resolved
T00128,C0116,O00279,2025-05-24,Account Help,High,44.5,3,resolved
T00129,C0116,O00279,2025-05-23,Account Help,Medium,25.1,4,resolved
T00130,C0116,O00280,2025-07-03,Payment Issue,Low,12.0,4,resolved
T00131,C0119,O00286,2025-12-31,Shipping Delay,Medium,19.0,5,resolved
T00132,C0120,O00288,2025-05-15,Product Quality,Medium,15.3,4,resolved
T00133,C0129,O00304,2025-05-30,Refund Request,Low,9.0,4,resolved
T00134,C0129,O00305,2025-07-07,Product Quality,Low,2.5,4,resolved
T00135,C0129,O00309,2025-12-07,Payment Issue,Low,5.5,5,resolved
T00136,C0130,O00318,2026-02-19,Refund Request,Medium,12.6,3,resolved
T00137,C0131,O00319,2024-07-09,Refund Request,Medium,25.4,4,resolved
T00138,C0131,O00322,2024-12-13,Account Help,Low,9.3,4,resolved
T00139,C0132,O00324,2025-06-12,Payment Issue,Medium,20.4,4,resolved
T00140,C0132,O00324,2025-06-14,Product Quality,Medium,22.4,4,resolved
T00141,C0132,O00325,2025-07-22,Account Help,Low,3.1,4,resolved
T00142,C0132,O00326,2025-08-25,Shipping Delay,High,70.2,3,resolved
T00143,C0134,O00330,2024-09-05,Product Quality,Medium,22.9,3,resolved
T00144,C0134,O00331,2024-11-02,Shipping Delay,Medium,12.8,4,resolved
T00145,C0134,O00332,2025-01-17,Shipping Delay,High,25.0,3,resolved
T00146,C0137,O00334,2024-04-22,Shipping Delay,Medium,28.1,4,resolved
T00147,C0138,,2025-03-20,Account Help,Low,12.3,3,resolved
T00148,C0141,O00338,2024-06-10,Payment Issue,Medium,18.8,4,resolved
T00149,C0141,O00339,2024-06-29,Refund Request,Medium,16.9,3,resolved
T00150,C0141,O00342,2024-09-28,Product Quality,Low,4.0,4,resolved
T00151,C0141,O00343,2024-10-26,Shipping Delay,Medium,23.3,3,resolved
T00152,C0145,O00347,2025-05-26,Shipping Delay,Medium,12.6,4,resolved
T00153,C0145,O00347,2025-05-25,Payment Issue,Medium,9.0,5,resolved
T00154,C0148,O00350,2025-09-13,Payment Issue,Low,3.4,5,resolved
T00155,C0149,O00353,2025-10-05,Refund Request,High,55.6,1,resolved
T00156,C0149,O00354,2025-11-19,Product Quality,Low,6.6,4,resolved
T00157,C0149,O00356,2026-02-02,Payment Issue,Medium,21.5,3,resolved
T00158,C0149,O00357,2026-03-16,Refund Request,Medium,16.0,3,resolved
T00159,C0150,O00358,2024-09-15,Refund Request,Medium,26.3,4,resolved
T00160,C0150,O00360,2024-10-30,Shipping Delay,Low,4.0,4,resolved
T00161,C0150,O00361,2024-12-13,Payment Issue,High,46.1,3,resolved
T00162,C0151,O00367,2025-05-20,Refund Request,High,71.0,2,resolved
T00163,C0151,O00368,2025-07-02,Refund Request,Medium,26.5,4,resolved
T00164,C0151,O00369,2025-08-15,Product Quality,High,70.7,3,resolved
T00165,C0151,O00369,2025-08-13,Refund Request,Medium,28.8,4,resolved
T00166,C0152,O00371,2024-02-29,Account Help,High,21.6,5,resolved
T00167,C0152,O00372,2024-04-30,Refund Request,Medium,26.1,3,resolved
T00168,C0152,O00372,2024-04-21,Refund Request,Medium,18.2,3,resolved
T00169,C0152,O00373,2024-06-09,Product Quality,Low,9.6,5,resolved
T00170,C0152,O00373,2024-06-12,Product Quality,Medium,18.6,4,resolved
T00171,C0152,O00374,2024-11-15,Refund Request,High,25.3,3,resolved
T00172,C0155,O00383,2025-12-15,Refund Request,Low,7.0,4,resolved
T00173,C0155,O00383,2025-12-20,Product Quality,Low,10.2,4,resolved
T00174,C0155,O00385,2026-02-18,Refund Request,Low,4.3,4,resolved
T00175,C0157,O00387,2026-01-30,Refund Request,Medium,22.9,2,resolved
T00176,C0159,O00389,2024-03-03,Shipping Delay,High,19.6,5,resolved
T00177,C0160,O00390,2024-09-29,Refund Request,Low,5.4,5,resolved
T00178,C0160,O00391,2024-11-30,Shipping Delay,Low,8.6,4,resolved
T00179,C0161,O00396,2024-06-23,Product Quality,Medium,19.3,3,resolved
T00180,C0164,O00405,2025-06-04,Shipping Delay,High,43.1,4,resolved
T00181,C0168,O00410,2024-08-28,Account Help,Medium,26.5,3,resolved
T00182,C0169,O00412,2025-11-25,Shipping Delay,Medium,18.8,4,resolved
T00183,C0169,O00415,2026-02-07,Account Help,High,59.2,4,resolved
T00184,C0171,O00417,2024-11-09,Refund Request,Low,2.9,3,resolved
T00185,C0172,O00418,2025-01-28,Account Help,Medium,29.9,3,resolved
T00186,C0173,O00419,2024-11-06,Account Help,High,39.5,3,resolved
T00187,C0174,O00420,2024-08-31,Product Quality,Low,5.9,3,resolved
T00188,C0176,O00423,2025-12-18,Shipping Delay,Medium,11.6,4,resolved
T00189,C0177,O00424,2025-08-25,Product Quality,Low,10.9,5,resolved
T00190,C0180,O00425,2025-02-12,Shipping Delay,Medium,18.0,4,resolved
T00191,C0180,O00426,2025-03-14,Shipping Delay,Medium,16.8,4,resolved
T00192,C0184,O00440,2025-01-15,Refund Request,Medium,21.5,3,resolved
T00193,C0185,O00443,2024-08-27,Payment Issue,Medium,17.2,4,resolved
T00194,C0185,O00443,2024-08-26,Payment Issue,Medium,26.6,3,resolved
T00195,C0185,O00444,2024-10-13,Account Help,Low,4.1,4,resolved
T00196,C0186,O00446,2025-09-22,Refund Request,Medium,26.5,2,resolved
T00197,C0186,O00446,2025-09-29,Payment Issue,Medium,26.9,3,resolved
T00198,C0186,O00448,2025-12-16,Account Help,Medium,8.1,5,resolved
T00199,C0187,O00453,2024-10-16,Shipping Delay,Medium,25.3,3,resolved
T00200,C0188,O00454,2024-06-09,Product Quality,Medium,11.5,4,resolved
T00201,C0189,O00455,2024-02-14,Shipping Delay,Low,9.4,4,resolved
T00202,C0190,O00457,2024-04-30,Account Help,Medium,17.8,4,resolved
T00203,C0191,O00461,2024-10-07,Shipping Delay,High,66.0,3,resolved
T00204,C0198,O00475,2025-04-19,Payment Issue,High,69.1,3,resolved
T00205,C0200,O00481,2024-04-16,Product Quality,Medium,20.4,3,resolved
T00206,C0201,O00482,2025-08-17,Refund Request,Medium,22.3,3,resolved
T00207,C0201,O00484,2025-11-30,Shipping Delay,Medium,8.6,5,resolved
T00208,C0201,O00485,2026-02-17,Shipping Delay,Medium,28.6,5,resolved
T00209,C0202,O00487,2025-04-12,Refund Request,Low,8.3,3,resolved
T00210,C0202,O00487,2025-04-18,Product Quality,Low,5.8,3,resolved
T00211,C0202,O00489,2025-06-21,Shipping Delay,Medium,12.3,5,resolved
T00212,C0202,O00490,2025-07-31,Shipping Delay,Medium,19.3,5,resolved
T00213,C0205,O00494,2024-12-04,Product Quality,Low,6.4,5,resolved
T00214,C0205,O00496,2025-01-31,Refund Request,Medium,10.4,5,resolved
T00215,C0205,O00497,2025-02-24,Shipping Delay,Low,7.3,5,resolved
T00216,C0205,O00497,2025-02-28,Product Quality,High,31.2,3,resolved
T00217,C0205,O00501,2025-06-23,Account Help,Medium,14.7,5,resolved
T00218,C0207,O00503,2025-02-11,Shipping Delay,Low,2.4,3,resolved
T00219,C0207,O00503,2025-02-12,Product Quality,Low,9.5,4,resolved
T00220,C0207,O00504,2025-03-01,Payment Issue,Medium,8.3,4,resolved
T00221,C0207,O00504,2025-03-02,Account Help,Low,9.2,3,resolved
T00222,C0207,O00506,2025-05-09,Refund Request,Medium,19.0,4,resolved
T00223,C0207,O00506,2025-05-12,Refund Request,Medium,23.1,4,resolved
T00224,C0207,O00508,2025-07-09,Product Quality,Medium,27.7,4,resolved
T00225,C0207,O00509,2025-08-09,Account Help,Low,4.3,5,resolved
T00226,C0207,O00510,2025-09-12,Product Quality,Medium,9.5,5,resolved
T00227,C0208,O00511,2025-11-01,Refund Request,High,50.7,3,resolved
T00228,C0208,O00511,2025-10-28,Account Help,High,42.9,4,resolved
T00229,C0211,O00514,2024-10-31,Shipping Delay,Low,8.4,5,resolved
T00230,C0213,O00516,2025-09-05,Product Quality,Low,5.6,4,resolved
T00231,C0214,,2025-10-10,Account Help,Low,15.0,4,resolved
T00232,C0215,O00521,2025-01-18,Refund Request,Medium,19.0,5,resolved
T00233,C0215,O00521,2025-01-11,Payment Issue,High,48.7,3,resolved
T00234,C0216,O00524,2024-11-03,Shipping Delay,High,50.3,4,resolved
T00235,C0218,O00526,2025-05-09,Account Help,Low,3.7,5,resolved
T00236,C0218,O00526,2025-05-09,Shipping Delay,Low,9.2,4,resolved
T00237,C0219,O00528,2025-03-19,Account Help,Medium,28.3,4,resolved
T00238,C0221,O00531,2025-09-19,Account Help,Medium,24.5,3,resolved
T00239,C0222,O00533,2024-12-06,Payment Issue,Medium,23.5,5,resolved
T00240,C0223,O00535,2024-09-22,Refund Request,Low,9.7,4,resolved
T00241,C0224,O00536,2024-06-11,Shipping Delay,Medium,13.7,5,resolved
T00242,C0225,O00540,2026-02-16,Payment Issue,Low,10.7,3,resolved
T00243,C0225,O00540,2026-02-17,Shipping Delay,Low,7.3,4,resolved
T00244,C0226,O00543,2025-12-26,Refund Request,Medium,20.1,3,resolved
T00245,C0228,O00545,2024-11-22,Account Help,Medium,21.2,3,resolved
T00246,C0228,O00545,2024-11-24,Account Help,Medium,24.0,3,resolved
T00247,C0229,O00546,2025-04-15,Refund Request,Medium,14.8,4,resolved
T00248,C0232,O00555,2025-06-09,Refund Request,Medium,11.3,4,resolved
T00249,C0232,O00557,2025-09-19,Shipping Delay,Low,8.4,4,resolved
T00250,C0233,O00561,2024-09-12,Shipping Delay,Low,7.6,5,resolved
T00251,C0234,O00562,2025-10-07,Refund Request,High,71.8,3,resolved
T00252,C0235,,2024-12-24,Account Help,Medium,15.6,3,resolved
T00253,C0236,O00563,2025-02-23,Refund Request,Medium,19.8,3,resolved
T00254,C0237,O00567,2025-08-25,Refund Request,Medium,14.2,3,resolved
T00255,C0240,O00572,2024-10-08,Shipping Delay,High,18.4,3,resolved
T00256,C0241,O00577,2024-06-11,Shipping Delay,Medium,10.2,5,resolved
T00257,C0241,O00577,2024-06-10,Product Quality,High,40.2,4,resolved
T00258,C0242,O00581,2025-10-20,Shipping Delay,Low,7.0,5,resolved
T00259,C0242,O00582,2025-11-17,Shipping Delay,Medium,21.6,4,resolved
T00260,C0242,O00583,2025-12-19,Payment Issue,Low,9.3,4,resolved
T00261,C0244,O00593,2024-08-04,Account Help,Medium,8.5,5,resolved
T00262,C0248,O00599,2025-09-23,Shipping Delay,Medium,25.8,4,resolved
T00263,C0248,O00600,2025-12-01,Account Help,Low,6.9,5,resolved
T00264,C0250,O00610,2024-09-23,Account Help,High,60.0,2,resolved
T00265,C0250,O00611,2024-10-22,Shipping Delay,Medium,15.0,4,resolved
T00266,C0250,O00611,2024-10-19,Product Quality,Medium,11.0,5,resolved
T00267,C0250,O00612,2024-11-25,Product Quality,Medium,25.8,4,resolved
T00268,C0250,O00613,2024-12-26,Shipping Delay,Low,10.5,4,resolved
T00269,C0250,O00613,2024-12-30,Refund Request,Low,10.5,4,resolved
