order_id,customer_id,order_date,order_status,gross_amount,discount_amount,shipping_fee,net_amount,items_count
O00065,C0022,2024-11-18,returned,57.28,8.59,0,48.69,3
O00066,C0023,2025-06-30,completed,366.19,0.0,0,366.19,4
O00067,C0025,2025-05-18,completed,266.15,39.92,0,226.23,3
O00068,C0025,2025-07-14,completed,40.12,6.02,4.99,39.09,6
O00069,C0026,2025-07-25,completed,61.26,9.19,0,52.07,4
O00070,C0026,2025-09-24,completed,137.33,20.6,7.99,124.72,4
O00071,C0027,2025-07-17,completed,173.92,8.7,0,165.22,6
O00072,C0028,2025-07-02,completed,170.24,17.02,4.99,158.21,5
O00073,C0029,2025-09-09,completed,379.98,0.0,4.99,384.97,2
O00074,C0030,2024-03-04,completed,322.06,0.0,0,322.06,5
O00075,C0030,2024-04-05,completed,307.9,30.79,0,277.11,1
O00076,C0030,2024-05-12,completed,213.64,0.0,0,213.64,5
O00077,C0030,2024-06-14,cancelled,227.17,11.36,0,215.81,4
O00078,C0030,2024-07-20,completed,251.26,25.13,4.99,231.12,6
O00079,C0030,2024-08-19,completed,420.92,21.05,7.99,407.86,2
O00080,C0030,2024-09-23,completed,131.22,19.68,0,111.54,6
O00081,C0030,2024-10-27,completed,150.51,0.0,7.99,158.5,5
O00082,C0031,2024-09-17,completed,282.74,42.41,7.99,248.32,3
O00083,C0032,2025-08-12,completed,161.73,8.09,0,153.64,5
O00084,C0032,2025-10-01,completed,273.54,41.03,0,232.51,5
O00085,C0032,2025-11-07,completed,93.22,9.32,4.99,88.89,3
O00086,C0033,2024-04-27,completed,104.81,15.72,7.99,97.08,4
O00087,C0034,2024-03-11,completed,125.69,18.85,0,106.84,6
O00088,C0036,2024-07-26,completed,103.88,5.19,0,98.69,1
O00089,C0037,2025-08-05,returned,373.3,18.67,4.99,359.62,3
O00090,C0037,2025-09-21,completed,274.63,27.46,4.99,252.16,1
O00091,C0037,2025-11-22,cancelled,150.46,15.05,4.99,140.4,3
O00092,C0038,2024-09-09,returned,262.13,13.11,7.99,257.01,3
O00093,C0040,2025-04-23,completed,348.42,52.26,0,296.16,1
O00094,C0040,2025-07-02,completed,445.08,66.76,0,378.32,2
O00095,C0040,2025-08-20,returned,77.51,7.75,0,69.76,2
O00096,C0041,2024-11-19,completed,407.09,20.35,0,386.74,4
O00097,C0041,2025-01-31,completed,93.03,9.3,0,83.73,5
O00098,C0041,2025-03-30,completed,308.24,30.82,0,277.42,5
O00099,C0041,2025-05-12,completed,57.65,2.88,4.99,59.76,2
O00100,C0042,2024-03-12,cancelled,209.66,10.48,4.99,204.17,1
O00101,C0043,2025-06-22,completed,290.66,29.07,0,261.59,5
O00102,C0044,2024-09-11,completed,70.78,10.62,0,60.16,5
O00103,C0044,2024-10-22,completed,308.09,15.4,0,292.69,2
O00104,C0044,2024-12-06,completed,178.88,17.89,0,160.99,6
O00105,C0044,2024-12-31,completed,47.18,7.08,0,40.1,3
O00106,C0044,2025-01-19,completed,184.45,27.67,7.99,164.77,2
O00107,C0045,2024-02-27,cancelled,54.08,5.41,4.99,53.66,2
O00108,C0045,2024-03-28,completed,189.72,0.0,0,189.72,5
O00109,C0045,2024-04-29,completed,188.1,18.81,7.99,177.28,6
O00110,C0045,2024-05-29,completed,438.32,21.92,7.99,424.39,2
O00111,C0046,2024-07-29,completed,35.61,5.34,0,30.27,5
O00112,C0047,2024-11-05,completed,439.44,0.0,7.99,447.43,2
O00113,C0047,2024-11-30,completed,60.85,3.04,0,57.81,3
O00114,C0047,2025-01-14,completed,147.86,0.0,0,147.86,5
O00115,C0047,2025-02-17,completed,162.95,16.29,0,146.66,6
O00116,C0047,2025-03-20,completed,389.66,19.48,0,370.18,2
O00117,C0047,2025-04-29,completed,276.66,27.67,0,248.99,1
O00118,C0047,2025-05-28,completed,73.17,7.32,0,65.85,4
O00119,C0048,2025-09-29,completed,106.71,5.34,0,101.37,4
O00120,C0048,2025-11-22,completed,291.05,29.11,4.99,266.93,5
O00121,C0048,2026-02-03,completed,364.86,54.73,0,310.13,4
O00122,C0049,2024-12-24,completed,59.32,8.9,7.99,58.41,5
O00123,C0050,2025-07-16,cancelled,324.52,0.0,0,324.52,5
O00124,C0050,2025-08-27,returned,253.48,0.0,0,253.48,2
O00125,C0050,2025-10-19,completed,392.18,0.0,0,392.18,6
O00126,C0050,2026-02-13,completed,168.88,8.44,4.99,165.43,4
O00127,C0051,2025-07-29,completed,320.73,16.04,0,304.69,6
O00128,C0051,2025-09-06,completed,93.37,0.0,0,93.37,3
O00129,C0051,2025-10-12,completed,313.06,31.31,4.99,286.74,2
O00130,C0051,2025-11-25,completed,361.61,0.0,0,361.61,6
O00131,C0051,2025-12-18,completed,239.63,35.94,0,203.69,1
O00132,C0051,2026-01-17,completed,176.85,26.53,0,150.32,5
O00133,C0051,2026-02-13,completed,289.66,43.45,0,246.21,6
O00134,C0052,2024-04-27,completed,55.6,8.34,0,47.26,1
O00135,C0053,2024-08-03,cancelled,45.68,2.28,0,43.4,4
O00136,C0054,2025-03-11,returned,217.49,21.75,0,195.74,5
O00137,C0055,2024-10-14,completed,198.84,0.0,7.99,206.83,5
O00138,C0055,2024-11-28,completed,221.35,11.07,0,210.28,2
O00139,C0055,2025-01-27,completed,412.98,0.0,0,412.98,4
O00140,C0055,2025-03-17,completed,415.62,0.0,7.99,423.61,4
O00141,C0056,2024-05-03,completed,287.72,0.0,0,287.72,2
O00142,C0056,2024-06-26,completed,399.77,19.99,0,379.78,3
O00143,C0056,2024-09-05,returned,364.37,36.44,0,327.93,6
O00144,C0056,2024-11-05,completed,302.91,15.15,4.99,292.75,4
O00145,C0057,2024-06-17,completed,358.91,0.0,0,358.91,2
O00146,C0057,2024-09-21,completed,298.7,0.0,0,298.7,4
O00147,C0058,2024-02-22,completed,153.3,23.0,0,130.3,5
O00148,C0058,2024-04-02,completed,316.24,31.62,4.99,289.61,6
O00149,C0058,2024-05-18,completed,303.66,0.0,0,303.66,3
O00150,C0058,2024-07-31,completed,388.41,58.26,0,330.15,3
O00151,C0059,2025-08-01,completed,369.25,55.39,0,313.86,6
O00152,C0059,2025-10-03,completed,142.66,21.4,4.99,126.25,1
O00153,C0059,2025-11-17,completed,127.28,19.09,0,108.19,2
O00154,C0060,2024-07-08,completed,362.06,36.21,0,325.85,3
O00155,C0060,2024-09-30,returned,394.55,0.0,4.99,399.54,5
O00156,C0061,2025-02-28,completed,173.04,8.65,0,164.39,1
O00157,C0062,2024-02-23,cancelled,36.94,1.85,0,35.09,3
O00158,C0062,2024-06-08,completed,77.62,7.76,0,69.86,1
O00159,C0063,2024-09-04,cancelled,184.09,9.2,0,174.89,4
O00160,C0063,2024-11-16,completed,190.7,19.07,7.99,179.62,5
O00161,C0063,2024-12-24,completed,43.19,0.0,4.99,48.18,1
O00162,C0063,2025-02-13,completed,120.28,0.0,0,120.28,1
O00163,C0064,2024-03-22,cancelled,287.74,28.77,7.99,266.96,3
O00164,C0064,2024-04-28,returned,40.29,0.0,0,40.29,6
O00165,C0064,2024-06-03,completed,144.61,0.0,0,144.61,1
O00166,C0064,2024-08-03,returned,164.77,0.0,0,164.77,1
O00167,C0065,2025-07-16,completed,147.81,22.17,4.99,130.63,6
O00168,C0066,2024-10-18,cancelled,392.97,19.65,4.99,378.31,1
O00169,C0066,2024-12-11,completed,335.37,16.77,0,318.6,6
O00170,C0066,2025-02-01,completed,138.16,13.82,4.99,129.33,5
O00171,C0066,2025-04-11,returned,100.12,15.02,4.99,90.09,1
O00172,C0067,2024-12-03,completed,344.27,0.0,0,344.27,1
O00173,C0067,2025-01-21,completed,434.72,43.47,7.99,399.24,6
O00174,C0067,2025-07-23,completed,57.52,2.88,4.99,59.63,5
O00175,C0069,2025-07-09,completed,407.2,61.08,0,346.12,6
O00176,C0070,2025-11-17,completed,377.19,18.86,0,358.33,4
O00177,C0071,2025-12-30,cancelled,255.1,0.0,7.99,263.09,5
O00178,C0072,2025-02-01,completed,222.93,11.15,0,211.78,6
O00179,C0072,2025-03-28,completed,423.24,21.16,0,402.08,6
O00180,C0072,2025-05-18,completed,90.06,4.5,7.99,93.55,6
O00181,C0073,2024-01-19,completed,370.45,0.0,0,370.45,1
O00182,C0073,2024-04-09,completed,361.0,36.1,0,324.9,1
O00183,C0074,2025-04-17,completed,393.91,59.09,0,334.82,6
O00184,C0075,2024-10-18,completed,396.1,19.81,0,376.29,5
O00185,C0075,2024-11-28,cancelled,108.63,0.0,0,108.63,6
O00186,C0075,2024-12-24,completed,228.53,11.43,0,217.1,3
O00187,C0075,2025-01-17,completed,272.66,27.27,0,245.39,3
O00188,C0075,2025-02-23,completed,361.3,18.07,4.99,348.22,4
O00189,C0075,2025-04-09,completed,123.54,12.35,0,111.19,2
O00190,C0075,2025-05-21,returned,318.26,31.83,4.99,291.42,1
O00191,C0077,2025-09-24,completed,378.93,56.84,0,322.09,2
O00192,C0078,2025-02-03,completed,266.6,13.33,0,253.27,4
O00193,C0079,2024-05-09,completed,348.72,0.0,0,348.72,5
O00194,C0080,2024-09-27,completed,198.97,0.0,4.99,203.96,2
O00195,C0081,2025-08-07,completed,93.67,0.0,0,93.67,4
O00196,C0081,2025-09-06,returned,101.8,5.09,7.99,104.7,2
O00197,C0081,2025-11-10,completed,237.18,23.72,0,213.46,6
O00198,C0082,2025-07-30,completed,308.66,15.43,7.99,301.22,3
O00199,C0082,2025-09-19,completed,317.03,31.7,4.99,290.32,3
O00200,C0083,2024-09-19,completed,404.89,20.24,0,384.65,6
O00201,C0084,2024-04-08,returned,411.12,41.11,7.99,378.0,5
O00202,C0085,2024-04-09,completed,310.01,15.5,7.99,302.5,2
O00203,C0086,2024-03-22,completed,61.09,6.11,0,54.98,2
O00204,C0087,2024-08-03,completed,381.47,38.15,7.99,351.31,2
O00205,C0087,2024-09-12,completed,306.13,0.0,7.99,314.12,2
O00206,C0087,2024-10-16,completed,178.19,26.73,7.99,159.45,2
O00207,C0087,2024-11-23,completed,248.53,24.85,0,223.68,2
O00208,C0087,2025-01-06,completed,207.06,20.71,0,186.35,4
O00209,C0088,2025-08-14,completed,280.82,14.04,7.99,274.77,5
O00210,C0088,2025-10-14,completed,105.79,15.87,7.99,97.91,5
O00211,C0089,2025-02-08,completed,108.63,0.0,7.99,116.62,1
O00212,C0089,2025-04-17,completed,409.32,0.0,4.99,414.31,3
O00213,C0090,2024-10-20,completed,140.62,7.03,0,133.59,5
O00214,C0091,2025-02-22,completed,210.78,21.08,7.99,197.69,6
O00215,C0091,2025-03-16,completed,360.27,54.04,0,306.23,5
O00216,C0091,2025-04-16,returned,274.73,41.21,0,233.52,6
O00217,C0091,2025-05-24,completed,289.82,0.0,0,289.82,6
O00218,C0091,2025-06-29,completed,230.74,34.61,0,196.13,2
O00219,C0091,2025-07-25,completed,335.67,50.35,7.99,293.31,3
O00220,C0091,2025-08-20,completed,217.17,10.86,7.99,214.3,1
O00221,C0091,2025-10-04,completed,184.29,0.0,0,184.29,3
O00222,C0092,2025-09-01,cancelled,414.73,41.47,0,373.26,3
O00223,C0092,2025-10-06,cancelled,398.59,39.86,4.99,363.72,5
O00224,C0092,2025-12-10,completed,367.07,55.06,0,312.01,1
O00225,C0092,2026-01-27,completed,200.56,20.06,0,180.5,2
O00226,C0093,2024-07-21,completed,132.47,6.62,0,125.85,2
O00227,C0094,2024-12-27,completed,110.89,11.09,4.99,104.79,5
O00228,C0094,2025-03-03,completed,210.62,0.0,7.99,218.61,6
O00229,C0094,2025-04-19,completed,324.77,48.72,0,276.05,1
O00230,C0095,2024-03-30,completed,146.8,14.68,0,132.12,4
O00231,C0095,2024-06-03,completed,189.51,28.43,0,161.08,5
O00232,C0095,2024-07-19,completed,334.14,16.71,7.99,325.42,4
O00233,C0096,2024-12-30,completed,90.81,9.08,4.99,86.72,5
O00234,C0096,2025-02-24,completed,142.8,14.28,7.99,136.51,3
O00235,C0097,2024-09-29,completed,107.43,10.74,0,96.69,5
O00236,C0097,2024-12-04,completed,193.14,19.31,4.99,178.82,2
O00237,C0097,2025-02-13,completed,289.11,43.37,0,245.74,3
O00238,C0097,2025-04-25,completed,155.91,15.59,7.99,148.31,3
O00239,C0098,2025-11-22,completed,132.37,13.24,0,119.13,4
O00240,C0098,2026-01-06,completed,163.39,8.17,0,155.22,2
O00241,C0098,2026-01-24,cancelled,422.97,63.45,0,359.52,6
O00242,C0098,2026-02-15,completed,218.37,21.84,4.99,201.52,3
O00243,C0099,2025-01-30,completed,427.99,64.2,0,363.79,4
O00244,C0099,2025-03-01,returned,262.51,13.13,4.99,254.37,4
O00245,C0099,2025-05-14,completed,206.36,0.0,0,206.36,1
O00246,C0100,2024-06-17,completed,44.18,0.0,0,44.18,6
O00247,C0100,2024-07-26,completed,97.53,14.63,0,82.9,3
O00248,C0100,2024-08-28,returned,363.44,36.34,0,327.1,2
O00249,C0102,2024-11-21,completed,231.22,23.12,0,208.1,6
O00250,C0102,2025-02-01,returned,299.99,15.0,0,284.99,6
O00251,C0103,2025-11-28,completed,189.13,0.0,0,189.13,1
O00252,C0104,2025-03-07,returned,183.64,9.18,0,174.46,4
O00253,C0105,2025-04-30,completed,259.77,38.97,0,220.8,5
O00254,C0105,2025-07-21,completed,292.19,29.22,7.99,270.96,6
O00255,C0106,2025-07-07,completed,109.14,0.0,0,109.14,2
O00256,C0107,2024-09-10,completed,238.93,0.0,4.99,243.92,1
O00257,C0107,2024-10-09,completed,364.61,0.0,7.99,372.6,1
O00258,C0107,2024-11-03,completed,253.37,12.67,7.99,248.69,2
O00259,C0107,2024-12-10,returned,274.27,41.14,4.99,238.12,2
O00260,C0107,2025-01-19,completed,385.61,57.84,4.99,332.76,3
O00261,C0107,2025-02-08,cancelled,263.35,26.34,0,237.01,4
O00262,C0107,2025-02-26,completed,416.43,20.82,0,395.61,3
O00263,C0107,2025-03-22,completed,404.19,20.21,0,383.98,3
O00264,C0109,2024-08-08,returned,417.58,41.76,0,375.82,4
O00265,C0110,2025-07-01,completed,97.08,4.85,0,92.23,6
O00266,C0111,2024-09-17,completed,361.34,18.07,0,343.27,4
O00267,C0112,2024-08-19,completed,267.11,40.07,4.99,232.03,2
O00268,C0113,2025-07-09,completed,444.88,66.73,7.99,386.14,1
O00269,C0113,2025-09-01,completed,99.74,0.0,0,99.74,2
O00270,C0113,2025-10-26,completed,122.93,12.29,7.99,118.63,6
O00271,C0113,2025-11-30,completed,411.01,0.0,0,411.01,3
O00272,C0113,2026-02-13,returned,393.68,0.0,0,393.68,6
O00273,C0114,2025-04-10,completed,318.99,31.9,0,287.09,5
O00274,C0115,2024-11-27,cancelled,71.43,10.71,7.99,68.71,5
O00275,C0115,2025-01-05,completed,89.69,4.48,7.99,93.2,2
O00276,C0115,2025-02-19,cancelled,407.94,20.4,4.99,392.53,2
O00277,C0115,2025-04-23,cancelled,336.74,33.67,4.99,308.06,3
O00278,C0115,2025-09-07,completed,286.33,14.32,7.99,280.0,6
O00279,C0116,2025-05-16,completed,437.06,43.71,4.99,398.34,6
O00280,C0116,2025-06-26,cancelled,333.88,50.08,7.99,291.79,5
O00281,C0116,2025-08-07,completed,443.29,0.0,7.99,451.28,6
O00282,C0116,2026-02-13,completed,200.19,20.02,0,180.17,4
O00283,C0117,2024-08-03,completed,109.61,5.48,4.99,109.12,4
O00284,C0118,2025-07-09,completed,333.13,0.0,0,333.13,4
O00285,C0118,2025-10-03,completed,194.4,9.72,4.99,189.67,1
O00286,C0119,2025-12-21,completed,162.85,24.43,0,138.42,1
O00287,C0119,2026-02-10,completed,401.32,20.07,0,381.25,4
O00288,C0120,2025-05-13,completed,292.2,14.61,0,277.59,1
O00289,C0121,2025-05-24,completed,361.73,18.09,4.99,348.63,3
O00290,C0122,2025-12-17,completed,61.94,9.29,0,52.65,3
O00291,C0123,2024-09-15,completed,254.51,0.0,4.99,259.5,5
O00292,C0123,2024-11-20,completed,166.34,16.63,0,149.71,4
O00293,C0124,2025-01-25,completed,44.95,0.0,0,44.95,4
O00294,C0125,2025-10-04,completed,162.73,16.27,0,146.46,3
O00295,C0125,2025-11-30,completed,290.64,0.0,0,290.64,3
O00296,C0125,2026-02-13,completed,302.95,45.44,0,257.51,5
O00297,C0126,2024-08-19,completed,42.77,4.28,0,38.49,2
O00298,C0126,2024-10-31,completed,190.72,9.54,7.99,189.17,2
O00299,C0126,2024-12-20,completed,165.52,0.0,0,165.52,4
O00300,C0126,2025-02-23,completed,429.55,21.48,7.99,416.06,1
O00301,C0128,2025-05-13,completed,356.85,17.84,0,339.01,5
O00302,C0129,2025-04-10,completed,404.01,0.0,7.99,412.0,6
O00303,C0129,2025-05-07,completed,164.54,8.23,0,156.31,3
O00304,C0129,2025-05-26,completed,313.52,31.35,0,282.17,1
O00305,C0129,2025-07-04,returned,106.08,10.61,7.99,103.46,5
O00306,C0129,2025-08-18,completed,327.44,49.12,7.99,286.31,3
O00307,C0129,2025-09-24,completed,348.63,52.29,7.99,304.33,6
O00308,C0129,2025-11-08,completed,319.06,47.86,4.99,276.19,2
O00309,C0129,2025-11-28,completed,197.71,19.77,0,177.94,1
O00310,C0129,2025-12-26,completed,77.72,0.0,0,77.72,1
O00311,C0130,2025-07-29,completed,280.25,42.04,7.99,246.2,5
O00312,C0130,2025-08-21,completed,67.33,10.1,0,57.23,4
O00313,C0130,2025-09-23,completed,108.11,16.22,0,91.89,6
O00314,C0130,2025-10-23,completed,308.97,0.0,0,308.97,5
O00315,C0130,2025-11-12,completed,222.98,22.3,4.99,205.67,4
O00316,C0130,2025-12-10,completed,166.39,16.64,4.99,154.74,3
O00317,C0130,2026-01-03,completed,246.83,12.34,0,234.49,5
O00318,C0130,2026-02-16,returned,375.61,37.56,0,338.05,1
O00319,C0131,2024-07-02,completed,90.73,0.0,0,90.73,4
O00320,C0131,2024-08-10,completed,293.65,44.05,7.99,257.59,4
O00321,C0131,2024-09-27,completed,211.28,0.0,7.99,219.27,6
O00322,C0131,2024-12-08,cancelled,261.66,26.17,0,235.49,5
O00323,C0132,2025-05-02,completed,67.4,6.74,7.99,68.65,3
O00324,C0132,2025-06-04,completed,411.01,41.1,4.99,374.9,3
O00325,C0132,2025-07-12,completed,46.33,6.95,0,39.38,1
O00326,C0132,2025-08-22,completed,341.67,51.25,0,290.42,3
O00327,C0132,2025-09-30,completed,382.61,57.39,4.99,330.21,4
O00328,C0133,2025-09-06,completed,200.48,20.05,4.99,185.42,5
O00329,C0133,2025-10-16,completed,196.88,19.69,0,177.19,4
O00330,C0134,2024-08-26,returned,431.82,64.77,7.99,375.04,3
O00331,C0134,2024-10-29,completed,354.76,35.48,0,319.28,1
O00332,C0134,2025-01-07,cancelled,49.13,0.0,0,49.13,6
O00333,C0136,2025-06-01,completed,141.79,0.0,0,141.79,4
O00334,C0137,2024-04-20,completed,441.46,22.07,7.99,427.38,6
O00335,C0139,2025-02-22,completed,410.42,0.0,7.99,418.41,4
O00336,C0140,2025-01-06,completed,374.46,56.17,0,318.29,3
O00337,C0140,2025-03-01,completed,297.39,0.0,0,297.39,3
O00338,C0141,2024-06-01,completed,196.89,0.0,0,196.89,6
O00339,C0141,2024-06-20,cancelled,302.01,45.3,7.99,264.7,4
O00340,C0141,2024-07-20,completed,225.22,11.26,7.99,221.95,1
O00341,C0141,2024-08-28,completed,42.91,0.0,0,42.91,2
O00342,C0141,2024-09-21,completed,410.43,0.0,4.99,415.42,5
O00343,C0141,2024-10-18,returned,169.56,8.48,0,161.08,2
O00344,C0142,2025-10-11,completed,357.73,0.0,4.99,362.72,1
O00345,C0143,2024-04-10,completed,94.38,9.44,7.99,92.93,2
O00346,C0144,2024-06-16,completed,208.8,10.44,0,198.36,5
O00347,C0145,2025-05-16,completed,57.02,0.0,0,57.02,4
O00348,C0146,2025-09-22,completed,64.41,3.22,4.99,66.18,3
O00349,C0147,2025-06-11,completed,133.4,20.01,0,113.39,2
O00350,C0148,2025-09-05,completed,108.9,10.89,0,98.01,2
O00351,C0149,2025-07-29,completed,274.92,13.75,0,261.17,5
O00352,C0149,2025-09-04,completed,382.35,38.24,0,344.11,6
O00353,C0149,2025-09-27,returned,275.48,13.77,7.99,269.7,4
O00354,C0149,2025-11-09,cancelled,134.81,0.0,4.99,139.8,2
O00355,C0149,2025-12-22,completed,45.13,6.77,4.99,43.35,6
O00356,C0149,2026-01-29,returned,188.72,28.31,0,160.41,1
O00357,C0149,2026-03-07,returned,361.89,0.0,7.99,369.88,6
O00358,C0150,2024-09-06,completed,396.52,19.83,0,376.69,3
O00359,C0150,2024-10-04,completed,316.5,31.65,4.99,289.84,6
O00360,C0150,2024-10-29,returned,225.02,0.0,4.99,230.01,3
O00361,C0150,2024-12-03,completed,156.67,7.83,4.99,153.83,4
O00362,C0150,2024-12-24,completed,177.26,17.73,4.99,164.52,6
O00363,C0150,2025-01-31,completed,89.76,8.98,0,80.78,2
O00364,C0150,2025-03-05,completed,354.45,0.0,0,354.45,4
O00365,C0150,2025-04-15,completed,153.38,7.67,0,145.71,1
O00366,C0150,2025-05-27,completed,217.97,21.8,0,196.17,6
O00367,C0151,2025-05-17,cancelled,421.39,21.07,4.99,405.31,2
O00368,C0151,2025-06-30,completed,366.82,55.02,0,311.8,6
O00369,C0151,2025-08-07,completed,170.44,8.52,7.99,169.91,3
O00370,C0151,2026-01-25,completed,199.99,30.0,0,169.99,1
O00371,C0152,2024-02-22,completed,102.97,15.45,4.99,92.51,5
O00372,C0152,2024-04-20,completed,71.71,10.76,0,60.95,5
O00373,C0152,2024-06-07,completed,98.92,9.89,4.99,94.02,6
O00374,C0152,2024-11-10,completed,295.62,44.34,0,251.28,6
O00375,C0153,2025-04-05,completed,295.63,0.0,7.99,303.62,5
O00376,C0153,2025-05-02,completed,319.26,31.93,0,287.33,6
O00377,C0153,2025-06-05,completed,180.93,9.05,0,171.88,3
O00378,C0153,2025-07-13,completed,417.18,20.86,0,396.32,5
O00379,C0153,2025-08-02,completed,266.84,0.0,4.99,271.83,1
O00380,C0153,2025-09-05,completed,234.0,23.4,0,210.6,4
O00381,C0153,2025-09-29,completed,46.94,0.0,0,46.94,6
O00382,C0154,2025-02-27,completed,42.8,6.42,4.99,41.37,1
O00383,C0155,2025-12-11,returned,86.37,4.32,7.99,90.04,2
O00384,C0155,2026-01-22,completed,125.05,6.25,0,118.8,5
O00385,C0155,2026-02-12,completed,417.0,62.55,0,354.45,2
O00386,C0157,2025-12-04,completed,83.02,8.3,4.99,79.71,3
O00387,C0157,2026-01-23,returned,155.59,23.34,0,132.25,4
O00388,C0158,2025-10-16,completed,185.94,9.3,0,176.64,4
O00389,C0159,2024-03-01,completed,232.47,34.87,4.99,202.59,2
O00390,C0160,2024-09-20,completed,160.64,0.0,0,160.64,5
O00391,C0160,2024-11-27,returned,42.33,0.0,4.99,47.32,1
O00392,C0160,2025-02-08,completed,238.96,11.95,0,227.01,4
O00393,C0160,2025-03-30,completed,319.43,47.91,4.99,276.51,2
O00394,C0161,2024-03-31,completed,280.04,14.0,0,266.04,6
O00395,C0161,2024-05-20,completed,212.68,21.27,4.99,196.4,6
O00396,C0161,2024-06-22,returned,164.52,0.0,0,164.52,1
O00397,C0162,2024-06-06,completed,168.8,0.0,4.99,173.79,6
